country,year,gdp,gdp_per_capita,capital_stock,labor_force,human_capital,tfp,investment_rate,government_expenditure_share,trade_openness,inflation,population_growth
C00,1990,200.6214637450631,1.839485093316145,14.325511728173662,109.06392472221196,3.4186003054094845,1.6836224271724562,0.1719215339200283,0.21725120476464793,0.4741173715166042,0.03072362872446356,0.02165631715701782
C00,1991,315.5005968891002,2.822584867478255,47.81387569153409,111.77718711819418,3.453676989338306,1.697632272323075,0.10833142495881828,0.13215173503677316,0.7218788733591297,0.08068720085712469,0.01963994939209833
C00,1992,385.9054717162296,3.368188667166064,78.64553362948064,114.57359128309277,3.51857408394155,1.696101028289796,0.15265744230303527,0.24152146265863877,0.5946260941335072,0.08693930967442018,0.006901274479551278
C00,1993,477.6117982309514,4.070465893484791,132.0516885583629,117.33590471680881,3.57486097912575,1.7063421010869468,0.1449469499722159,0.10049724341596428,0.5670492168243731,0.050713377145352394,0.02738947022370758
C00,1994,554.2125513115211,4.642479616205745,192.03644378359928,119.37856428640042,3.5996670403861546,1.7096981189117082,0.16996452605892853,0.19315004438638736,0.5205359694349442,0.055398022993400686,0.0204853877467402
C00,1995,643.5430471199821,5.260097770960749,272.79036633831964,122.34431281349357,3.6285053764549797,1.719035836278861,0.13107213620529456,0.12145940207471526,0.6444180415596864,0.04783165816539668,0.020025567283212305
C00,1996,705.0839969818022,5.65661471172799,338.04560262071783,124.6476970616251,3.631577453384334,1.7252132514895295,0.13276768211394657,0.14790890923113523,0.5758071432500986,0.05212152570443615,0.029430929506052653
C00,1997,780.1651063735382,6.130989784884056,407.99477841217833,127.24945461449532,3.6959684517128855,1.7434427469203035,0.08574168627882742,0.17893944498203132,0.6090345314911539,0.11389726337455858,0.019038195176094386
C00,1998,814.7798526334915,6.2681977847559045,446.3278157196938,129.98630238104724,3.750523762592315,1.723725932655655,0.1776634671917282,0.21007732130747095,0.718654792056457,0.012718376356157832,0.027013971554680497
C00,1999,953.3587179717028,7.240245210979848,559.8414822361466,131.67492124796163,3.8296142158685664,1.8226605974688828,0.11418666132543653,0.15734809081588913,0.6149477047631462,0.024895730376514026,0.012246682844669336
